,GR1,GR2,GR7,GR8
,45.1666666666667,37.1,45.5,42.4
0,73.5,70.5,82.1666666666667,73
15,88,93.1666666666667,104.333333333333,89.1666666666667
30,98.8333333333333,118.5,98.3333333333333,96.5
60,104.333333333333,135,87.6666666666667,92.3333333333333
90,100.833333333333,159.166666666667,90.5,88.6666666666667
120,115.333333333333,161,92,90.6666666666667
180,120.166666666667,107.5,83.5,83.1666666666667
240,110.5,91.1666666666667,78.6666666666667,78.6666666666667
300,113,86.8333333333333,79.1666666666667,74.8333333333333
