,GR1,GR2,GR7,GR8
,46.275,38.6166666666667,44.1666666666667,42.4833333333333
0,4.225,5.32666666666667,5.55333333333333,5.035
15,81.75,84.6066666666667,163.473333333333,109.943333333333
30,137.845,133.5,242.686666666667,171.343888888889
60,101.455,113.526666666667,122.456666666667,112.479444444444
90,33.44,30.2,7.8,23.8133333333333
120,9.035,10.7266666666667,4.61333333333333,8.125
180,4.74,3.89,5.70666666666667,4.77888888888889
240,4.05,4.98,6.29666666666667,5.10888888888889
300,4.11,3.98666666666667,5.03666666666667,4.37777777777778
