,GR1,GR2,GR7,GR8
,45.1666666666667,37.1,45.5,42.4
0,6.35333333333333,7.41666666666667,3.53333333333333,1.76333333333333
15,14.2,22.78,26.37,14.1
30,25.5566666666667,40.2266666666667,34.6333333333333,22.1533333333333
60,18.2233333333333,24.7566666666667,16.49,15.9633333333333
90,13.3066666666667,27.0666666666667,9.37,11.1033333333333
120,18.6266666666667,26.6766666666667,7.31,9.79333333333333
180,15.95,18.2066666666667,6.27,4.47333333333333
240,17.1866666666667,12.54,3.97333333333333,3.57333333333333
300,20.5333333333333,8.42333333333333,2.07333333333333,2.68333333333333
