Complexity,Loss,Equation
1,49.63666180555553,"13.05749999997547"
4,49.63453267948139,"log(468238.38622425863 - x1)"
5,32.15888639543671,"(x1 * -0.035055722547382144) + 17.947773295346902"
7,26.689907923255294,"(73.88861417044065 / (x1 - 9.25347995724505)) + 11.788444646168033"
8,9.388848863308937,"(x1 / exp(x1 / 34.40745871601348)) + 8.63442507702585"
9,5.324443794173145,"-1490.5520052407205 / ((-932.2960220271019 / (x1 + 3.883620123163276)) - x1)"
10,2.3961685068446665,"((x1 * 1.9151564552933342) / exp(x1 / 26.201856403922037)) + 7.612176586432509"
12,2.0589117863005457,"((x1 * 3.8754346414681042) / (exp(x1 / 20.698758868270993) + 1.842725402980372)) + 7.908076051992269"
13,2.0372304685034766,"(-541.5956738733187 / ((-727.5666129629236 / (x1 + 1.0250179580090517)) - (x1 + -28.631194107947405))) + 5.541694551471658"
14,1.7196277535039186,"(((x1 - 1.371234352551695) * 4.063477911042591) / (exp(x1 / 20.115694414142027) + 1.7401424916357418)) + 8.295447028489324"
16,1.3344918694518453,"((x1 - 3.625099501211921) * ((5.755874699049381 / (exp(x1 / 16.892557442329576) + 3.2738327707752735)) - 0.011414754099043054)) + 11.149584208143008"
18,0.4277692299908379,"(-626.7895998547149 / ((-866.1489380622031 / ((x1 - exp(x1 * 0.023019719266905346)) + 3.9306799941028387)) - (x1 + -30.238610604177524))) + 4.130448287706241"
20,0.4276616414124367,"(-626.7866661646096 / ((-866.1496164935342 / (x1 + (3.928437423994431 - exp((x1 + -0.017750125189853975) * 0.02302107079947785)))) - (x1 + -30.234495900946243))) + 4.130448287706241"
