Complexity,Loss,Equation
1,49.63666180555553,"13.05749999997547"
4,49.63453267948138,"log(468238.4101974807 - x1)"
5,32.1588863954367,"(x1 * -0.03505572254728364) + 17.947773295329974"
7,32.153212092357336,"1.928550378654974e13 - ((x1 * 0.03495220458197522) + 1.9285503786531805e13)"
8,32.051618919898594,"exp((x1 * -0.0013669530530927337) + 3.473358332271699) + -13.9342219588669"
9,31.934836546206895,"log(exp((x1 * -0.03880574263398741) + 18.214802042619137) + x1)"
10,8.890123922122545,"exp(((x1 + -78.78679842860197) * -0.002024524359257691) * x1) + 9.33524244318164"
11,4.51843064788873,"log((exp((x1 + -141.63393114245167) * -0.18059357775223384) * x1) + 2789.1425970028076)"
13,2.2799582516014896,"exp(((x1 * -0.020600047160914656) - exp(14.439757792103348 - x1)) + 3.607420884366465) - -7.454366294797929"
14,2.208038342445183,"exp(exp(((x1 * -0.006966059093494912) - exp(13.318504652607318 - x1)) + 1.329764059074656)) - -5.853795266959186"
15,2.123769391603657,"exp((((x1 * x1) * -0.00019630611774722458) + 3.1307757144640656) - exp(14.059023866056881 - x1)) + 7.92094245955248"
16,2.1162801701376237,"exp(exp(((x1 * (x1 * -7.089453916006377e-5)) + 1.169162242758579) - exp(12.983376497058718 - x1))) + 6.720755339964439"
17,2.0481434829919785,"exp(exp(exp((x1 + -57.74905132986394) * ((x1 - exp(16.878974976720407 - x1)) * -0.00014129246857268058)))) + 5.206535731641803"
19,2.0420281681295505,"exp(exp(exp(((x1 * ((x1 + -52.062576499087434) * -0.00012384909962008287)) - exp(12.082837124433414 - x1)) + 0.03733303365940104))) + 5.151550683240544"
20,1.7792905330886744,"exp((3.1225205617031855 - exp(14.099631605969703 - x1)) + ((x1 * x1) * -0.00020668019197755017)) - (exp(0.7239639771002354 - x1) + -8.312593054535148)"
