Complexity,Loss,Equation
1,49.63666180555553,"13.057499996177622"
5,32.15888639543671,"(x1 * -0.035055722546960585) + 17.947773295393404"
8,9.38884886330914,"(x1 * exp(x1 * -0.029063467393448648)) + 8.634425401100785"
10,2.396168506845067,"(x1 * exp((x1 * -0.038165238325809994) + 0.6497994306953357)) + 7.6121768965456225"
11,2.063891089140893,"exp((x1 * exp((x1 * -0.03452784855828749) + -2.137756595372488)) - -2.055451241938363)"
13,2.031566968333599,"exp(((-0.29277145390391945 + x1) * exp(-2.137756595372488 + (x1 * -0.03452784855828749))) - -2.055451241938363)"
15,1.7750215993747596,"exp(((x1 + -1.549252711920809) * exp((x1 * -0.037417158092805) + -2.366909250185226)) - -2.625433621131385) - 5.690462662491969"
17,1.7750207070692805,"exp((exp(((x1 - -2.353006804329494) * -0.03741630223356333) + -2.279055123783279) * (x1 + -1.548839400157233)) - -2.6256892530476277) - 5.69434419283363"
19,1.7750062209,"exp((exp(((x1 - -0.06987966248395705) * -0.037425340201127616) + -2.370494392881389) * ((x1 - -0.03706567961953457) + -1.5813539087138904)) - -2.63445084896803) - 5.817185023431403"
20,1.5672147819509792,"(x1 * -0.010303859745182734) + (exp(exp((exp((x1 * -0.04211269335376164) + -3.4221333279503714) * (x1 + -4.137997668139497)) - -1.00809663584985)) + -4.670722668248134)"
