Complexity,Loss,Equation
1,49.63666180555553,"13.057500000000141"
5,32.15888639543671,"(x1 * -0.03505572254756687) - -17.94777329540041"
7,32.15888568649776,"2.8336695278676176e9 - ((x1 * 0.035055357880289365) + 2.8336695099199286e9)"
9,31.52777384059214,"18.862305957388525 - log(exp(x1 * 0.03924981574598522) + 2.8772734401206814)"
10,14.228698180736938,"21.577867062103657 - ((exp(5.723602830853186 - x1) + x1) * 0.05009017882909908)"
11,14.22869638203106,"21.577841661809693 - (exp(3.7296622278537828 - exp(x1)) + (x1 * 0.0500900739161261))"
12,14.22869638007877,"21.577865878455714 - ((exp(5.723602882625253 - (x1 * 21.577865878455714)) + x1) * 0.05009017415406262)"
13,2.2799582516016823,"exp(3.607420940343377 - ((x1 * 0.02060004868909295) + exp(14.439757890100333 - x1))) + 7.4543664530091425"
14,2.1855271330878425,"exp(4.367815417248066 - (exp(x1 * 0.011337116179386392) + exp(14.27368334925304 - x1))) + 7.885435731096141"
18,2.175904627326312,"exp(4.166121755279508 - (exp(((x1 + x1) * 0.006341549659194082) + -0.1915987644066898) + exp(14.247340019603442 - x1))) + 7.90806080428183"
20,2.129211827351758,"exp(((x1 - x1) - -4.498638051393278) - exp((x1 * 0.01208734843809569) + exp((7.243069972561146 - x1) * 0.11504997118780458))) + 7.9396319044431705"
